id,game,name,act,tier,diff,composure_max,hp_max,physical_immune,num_behaviors,behavior_kinds,exp_dmg_per_turn,exp_hp_dmg,exp_composure_dmg,max_attack,applies_weak,applies_vulnerable,insult_vulnerabilities,special_flags,duo_partner,behaviors,flavor,raw_json
e1-acolyte,Witch Mountain Bridge,Lost Acolyte,3,normal,,44,18,false,3,attack|block,5.7,5.7,0,8,false,false,,,,"[{""kind"":""attack"",""value"":8,""weight"":3,""telegraph"":""⚔ 8""},{""kind"":""block"",""value"":5,""weight"":1,""telegraph"":""🛡 5""},{""kind"":""attack"",""value"":5,""weight"":2,""telegraph"":""⚔ 5 (faltering)""}]",,"{""id"":""e1-acolyte"",""act"":3,""name"":""Lost Acolyte"",""composureMax"":44,""hpMax"":18,""tier"":""normal"",""behaviors"":[{""kind"":""attack"",""value"":8,""weight"":3,""telegraph"":""⚔ 8""},{""kind"":""block"",""value"":5,""weight"":1,""telegraph"":""🛡 5""},{""kind"":""attack"",""value"":5,""weight"":2,""telegraph"":""⚔ 5 (faltering)""}]}"
e1-imp,Witch Mountain Bridge,Pact Imp,3,normal,,42,999,true,3,attack|vulnerable|weak,3,3,0,6,true,true,,,,"[{""kind"":""attack"",""value"":6,""weight"":3,""telegraph"":""⚔ 6 + ⛧ Weak 1"",""riders"":{""weak"":1}},{""kind"":""weak"",""value"":1,""weight"":2,""telegraph"":""⛧ Weak 1""},{""kind"":""vulnerable"",""value"":1,""weight"":1,""telegraph"":""🩸 Vuln 1""}]",,"{""id"":""e1-imp"",""act"":3,""name"":""Pact Imp"",""composureMax"":42,""hpMax"":999,""tier"":""normal"",""behaviors"":[{""kind"":""attack"",""value"":6,""weight"":3,""telegraph"":""⚔ 6 + ⛧ Weak 1"",""riders"":{""weak"":1}},{""kind"":""weak"",""value"":1,""weight"":2,""telegraph"":""⛧ Weak 1""},{""kind"":""vulnerable"",""value"":1,""weight"":1,""telegraph"":""🩸 Vuln 1""}]}"
e1-shrine-rat,Witch Mountain Bridge,Shrine Rat Pack,3,normal,,40,12,false,4,attack|attack-multi|block,6.6,6.6,0,9,false,false,,,,"[{""kind"":""attack-multi"",""value"":3,""count"":3,""weight"":3,""telegraph"":""⚔ 3×3""},{""kind"":""block"",""value"":4,""weight"":1,""telegraph"":""🛡 4""},{""kind"":""attack"",""value"":7,""weight"":2,""telegraph"":""⚔ 7 (lunging)""},{""kind"":""attack"",""maul"":true,""value"":5,""weight"":1,""telegraph"":""🦷 5 — the pack drags one off (unblocked → lose your strongest animal)""}]",,"{""id"":""e1-shrine-rat"",""act"":3,""name"":""Shrine Rat Pack"",""composureMax"":40,""hpMax"":12,""tier"":""normal"",""behaviors"":[{""kind"":""attack-multi"",""value"":3,""count"":3,""weight"":3,""telegraph"":""⚔ 3×3""},{""kind"":""block"",""value"":4,""weight"":1,""telegraph"":""🛡 4""},{""kind"":""attack"",""value"":7,""weight"":2,""telegraph"":""⚔ 7 (lunging)""},{""kind"":""attack"",""maul"":true,""value"":5,""weight"":1,""telegraph"":""🦷 5 — the pack drags one off (unblocked → lose your strongest animal)""}]}"
e-rogue-ashweather,Witch Mountain Bridge,Doctor Phin Ashweather (recently inanimate),3,normal,,52,32,false,4,attack|attack-multi|block,6.3,5.3,1,8,false,false,,,,"[{""kind"":""attack"",""value"":8,""weight"":2,""telegraph"":""⚔ 8 (the staff turns)""},{""kind"":""block"",""value"":9,""weight"":1,""telegraph"":""🛡 9 (knots tighten)""},{""kind"":""attack-multi"",""value"":4,""count"":2,""weight"":2,""telegraph"":""⚔ 4×2 (the staff insists)""},{""kind"":""attack"",""value"":6,""pool"":""composure"",""weight"":1,""telegraph"":""🎭 6 (you remember when he was a person)""}]",,"{""id"":""e-rogue-ashweather"",""act"":3,""name"":""Doctor Phin Ashweather (recently inanimate)"",""composureMax"":52,""hpMax"":32,""tier"":""normal"",""behaviors"":[{""kind"":""attack"",""value"":8,""weight"":2,""telegraph"":""⚔ 8 (the staff turns)""},{""kind"":""block"",""value"":9,""weight"":1,""telegraph"":""🛡 9 (knots tighten)""},{""kind"":""attack-multi"",""value"":4,""count"":2,""weight"":2,""telegraph"":""⚔ 4×2 (the staff insists)""},{""kind"":""attack"",""value"":6,""pool"":""composure"",""weight"":1,""telegraph"":""🎭 6 (you remember when he was a person)""}]}"
e1-tutor,Witch Mountain Bridge,Stern Tutor,3,elite,,68,999,true,5,attack|attack-multi|block,6.2,5.2,1,9,false,true,,,,"[{""kind"":""attack"",""value"":8,""weight"":2,""telegraph"":""⚔ 8 + 🩸 Vuln 1"",""riders"":{""vulnerable"":1}},{""kind"":""attack-multi"",""value"":3,""count"":3,""weight"":1,""telegraph"":""⚔ 3×3""},{""kind"":""block"",""value"":7,""weight"":1,""telegraph"":""🛡 7""},{""kind"":""attack"",""value"":6,""pool"":""composure"",""weight"":1,""telegraph"":""🎭 6 (cutting remark)""},{""kind"":""attack"",""maul"":true,""value"":6,""weight"":1,""telegraph"":""🦷 6 — sends one from the room (unblocked → lose your strongest animal)""}]",,"{""id"":""e1-tutor"",""act"":3,""name"":""Stern Tutor"",""composureMax"":68,""hpMax"":999,""tier"":""elite"",""behaviors"":[{""kind"":""attack"",""value"":8,""weight"":2,""telegraph"":""⚔ 8 + 🩸 Vuln 1"",""riders"":{""vulnerable"":1}},{""kind"":""attack-multi"",""value"":3,""count"":3,""weight"":1,""telegraph"":""⚔ 3×3""},{""kind"":""block"",""value"":7,""weight"":1,""telegraph"":""🛡 7""},{""kind"":""attack"",""value"":6,""pool"":""composure"",""weight"":1,""telegraph"":""🎭 6 (cutting remark)""},{""kind"":""attack"",""maul"":true,""value"":6,""weight"":1,""telegraph"":""🦷 6 — sends one from the room (unblocked → lose your strongest animal)""}]}"
e1-thicket,Witch Mountain Bridge,Living Thicket,3,elite,,76,38,false,4,attack|block|vulnerable,4.6,4.6,0,9,false,true,,,,"[{""kind"":""attack"",""value"":9,""weight"":2,""telegraph"":""⚔ 9""},{""kind"":""block"",""value"":9,""weight"":2,""telegraph"":""🛡 9""},{""kind"":""vulnerable"",""value"":1,""weight"":1,""telegraph"":""🌀 Vuln""},{""kind"":""attack"",""maul"":true,""value"":7,""weight"":2,""telegraph"":""🦷 7 — vines drag a beast into the bramble (unblocked → lose your strongest animal)""}]",,"{""id"":""e1-thicket"",""act"":3,""name"":""Living Thicket"",""composureMax"":76,""hpMax"":38,""tier"":""elite"",""behaviors"":[{""kind"":""attack"",""value"":9,""weight"":2,""telegraph"":""⚔ 9""},{""kind"":""block"",""value"":9,""weight"":2,""telegraph"":""🛡 9""},{""kind"":""vulnerable"",""value"":1,""weight"":1,""telegraph"":""🌀 Vuln""},{""kind"":""attack"",""maul"":true,""value"":7,""weight"":2,""telegraph"":""🦷 7 — vines drag a beast into the bramble (unblocked → lose your strongest animal)""}]}"
e1-boss-thornlord,Witch Mountain Bridge,The Thornlord,3,boss,,95,115,false,5,attack|attack-multi|block,11,10,1,16,false,false,petty|dismissive|sarcastic,,,"[{""kind"":""attack"",""value"":14,""weight"":2,""telegraph"":""⚔ 14""},{""kind"":""attack-multi"",""value"":4,""count"":4,""weight"":2,""telegraph"":""⚔ 4×4""},{""kind"":""block"",""value"":16,""weight"":1,""telegraph"":""🛡 16""},{""kind"":""attack"",""value"":7,""pool"":""composure"",""weight"":1,""telegraph"":""🎭 7 (bramble-whisper)""},{""kind"":""attack"",""maul"":true,""value"":10,""weight"":1,""telegraph"":""🦷 10 — the thorns take one of yours (unblocked → lose your strongest animal)""}]",,"{""id"":""e1-boss-thornlord"",""act"":3,""name"":""The Thornlord"",""composureMax"":95,""hpMax"":115,""tier"":""boss"",""insultVulnerabilities"":[""petty"",""dismissive"",""sarcastic""],""behaviors"":[{""kind"":""attack"",""value"":14,""weight"":2,""telegraph"":""⚔ 14""},{""kind"":""attack-multi"",""value"":4,""count"":4,""weight"":2,""telegraph"":""⚔ 4×4""},{""kind"":""block"",""value"":16,""weight"":1,""telegraph"":""🛡 16""},{""kind"":""attack"",""value"":7,""pool"":""composure"",""weight"":1,""telegraph"":""🎭 7 (bramble-whisper)""},{""kind"":""attack"",""maul"":true,""value"":10,""weight"":1,""telegraph"":""🦷 10 — the thorns take one of yours (unblocked → lose your strongest animal)""}]}"
e2-hollow-weaver,Witch Mountain Bridge,Hollow Weaver,1,normal,2,38,999,true,4,attack|weave,5,4.3,0.8,9,true,false,,,e2-bobbin-imp,"[{""kind"":""weave"",""value"":3,""weight"":3,""telegraph"":""🪡 Weave +3 — banked 🎭 lands at the end of your next turn""},{""kind"":""attack"",""value"":8,""weight"":2,""telegraph"":""⚔ 8 + ⛧ Weak 1"",""riders"":{""weak"":1}},{""kind"":""attack"",""value"":9,""weight"":2,""telegraph"":""⚔ 9""},{""kind"":""attack"",""value"":6,""pool"":""composure"",""weight"":1,""telegraph"":""🎭 6 (half-thought)""}]",,"{""id"":""e2-hollow-weaver"",""act"":1,""name"":""Hollow Weaver"",""composureMax"":38,""hpMax"":999,""tier"":""normal"",""diff"":2,""duoPartnerId"":""e2-bobbin-imp"",""behaviors"":[{""kind"":""weave"",""value"":3,""weight"":3,""telegraph"":""🪡 Weave +3 — banked 🎭 lands at the end of your next turn""},{""kind"":""attack"",""value"":8,""weight"":2,""telegraph"":""⚔ 8 + ⛧ Weak 1"",""riders"":{""weak"":1}},{""kind"":""attack"",""value"":9,""weight"":2,""telegraph"":""⚔ 9""},{""kind"":""attack"",""value"":6,""pool"":""composure"",""weight"":1,""telegraph"":""🎭 6 (half-thought)""}]}"
e2-bobbin-imp,Witch Mountain Bridge,Bobbin Imp,1,companion,,14,999,true,4,attack|block|bolster,1.6,1.1,0.5,3,false,false,,,,"[{""kind"":""attack"",""value"":3,""weight"":3,""telegraph"":""⚔ 3 — needle jab""},{""kind"":""attack"",""value"":2,""pool"":""composure"",""weight"":2,""telegraph"":""🎭 2 — officious squeak""},{""kind"":""bolster"",""value"":4,""weight"":2,""telegraph"":""🧵 re-threads its master (+4 Block to partner)""},{""kind"":""block"",""value"":3,""weight"":1,""telegraph"":""🛡 3""}]","A spool that learned ambition. It has regretted nothing yet, though it is young.","{""id"":""e2-bobbin-imp"",""act"":1,""name"":""Bobbin Imp"",""composureMax"":14,""hpMax"":999,""tier"":""companion"",""flavor"":""A spool that learned ambition. It has regretted nothing yet, though it is young."",""behaviors"":[{""kind"":""attack"",""value"":3,""weight"":3,""telegraph"":""⚔ 3 — needle jab""},{""kind"":""attack"",""value"":2,""pool"":""composure"",""weight"":2,""telegraph"":""🎭 2 — officious squeak""},{""kind"":""bolster"",""value"":4,""weight"":2,""telegraph"":""🧵 re-threads its master (+4 Block to partner)""},{""kind"":""block"",""value"":3,""weight"":1,""telegraph"":""🛡 3""}]}"
e2-garth-maul,Witch Mountain Bridge,Garth Maul,1,normal,2,40,999,true,1,attack,4,4,0,4,false,false,,summonerOnly|escalatingMaul,,"[{""kind"":""attack"",""maul"":true,""value"":4,""weight"":1,""telegraph"":""🦷 4 ❤ maul (escalates each turn)""}]",He took the staff trial sideways and came back all teeth. Asks only that you hold still.,"{""id"":""e2-garth-maul"",""act"":1,""name"":""Garth Maul"",""composureMax"":40,""hpMax"":999,""tier"":""normal"",""diff"":2,""summonerOnly"":true,""escalatingMaul"":true,""flavor"":""He took the staff trial sideways and came back all teeth. Asks only that you hold still."",""behaviors"":[{""kind"":""attack"",""maul"":true,""value"":4,""weight"":1,""telegraph"":""🦷 4 ❤ maul (escalates each turn)""}]}"
e2-silk-wraith,Witch Mountain Bridge,Silk Wraith,1,normal,3,36,999,true,5,attack|attack-multi|block|vulnerable,7.4,5.4,2,12,false,true,,,,"[{""kind"":""attack-multi"",""value"":4,""count"":3,""weight"":3,""telegraph"":""⚔ 4×3""},{""kind"":""attack"",""value"":8,""pool"":""composure"",""weight"":2,""telegraph"":""🎭 8 (silken whisper)""},{""kind"":""block"",""value"":6,""weight"":1,""telegraph"":""🛡 6""},{""kind"":""vulnerable"",""value"":1,""weight"":1,""telegraph"":""🩸 Vuln 1""},{""kind"":""attack"",""maul"":true,""value"":7,""weight"":1,""telegraph"":""🦷 7 — silk-snare (unblocked → lose your strongest animal)""}]",,"{""id"":""e2-silk-wraith"",""act"":1,""name"":""Silk Wraith"",""composureMax"":36,""hpMax"":999,""tier"":""normal"",""diff"":3,""behaviors"":[{""kind"":""attack-multi"",""value"":4,""count"":3,""weight"":3,""telegraph"":""⚔ 4×3""},{""kind"":""attack"",""value"":8,""pool"":""composure"",""weight"":2,""telegraph"":""🎭 8 (silken whisper)""},{""kind"":""block"",""value"":6,""weight"":1,""telegraph"":""🛡 6""},{""kind"":""vulnerable"",""value"":1,""weight"":1,""telegraph"":""🩸 Vuln 1""},{""kind"":""attack"",""maul"":true,""value"":7,""weight"":1,""telegraph"":""🦷 7 — silk-snare (unblocked → lose your strongest animal)""}]}"
e2-loom-familiar,Witch Mountain Bridge,Loom Familiar,1,normal,2,40,999,true,4,attack|discard-hand,5,4,1,8,true,false,,,,"[{""kind"":""discard-hand"",""value"":1,""weight"":2,""telegraph"":""🗑 takes 1 from your hand""},{""kind"":""attack"",""value"":8,""weight"":2,""telegraph"":""⚔ 8""},{""kind"":""attack"",""value"":6,""weight"":2,""telegraph"":""⚔ 6 + ⛧ Weak 1 (thread-tangle)"",""riders"":{""weak"":1}},{""kind"":""attack"",""value"":7,""pool"":""composure"",""weight"":1,""telegraph"":""🎭 7 (lonely-thread)""}]",,"{""id"":""e2-loom-familiar"",""act"":1,""name"":""Loom Familiar"",""composureMax"":40,""hpMax"":999,""tier"":""normal"",""diff"":2,""behaviors"":[{""kind"":""discard-hand"",""value"":1,""weight"":2,""telegraph"":""🗑 takes 1 from your hand""},{""kind"":""attack"",""value"":8,""weight"":2,""telegraph"":""⚔ 8""},{""kind"":""attack"",""value"":6,""weight"":2,""telegraph"":""⚔ 6 + ⛧ Weak 1 (thread-tangle)"",""riders"":{""weak"":1}},{""kind"":""attack"",""value"":7,""pool"":""composure"",""weight"":1,""telegraph"":""🎭 7 (lonely-thread)""}]}"
