id,game,name,lane,slot,type,rarity,tier,cost,phrase,description,flavor,keywords,scale_by,damage,damage_multiplier,damage_type,stat_contribution,block,card_draw,self_damage,status_effects_applied,summon,feed_key,mechanics,modifier_kind,raw_json
wv2-i-frankly,Witch Mountain Bridge,"Frankly,",wit,intro,word,basic,1,0,"Frankly,",+1 wit,The dictionary definition of confidence preceded by a comma.,cutting,,,,,1,,,,,,,,,"{""id"":""wv2-i-frankly"",""slot"":""intro"",""tier"":1,""rarity"":""basic"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""Frankly,"",""tags"":[""cutting""],""stats"":{""wit"":1},""setId"":""slowburn-4"",""setSlot"":""intro"",""schoolId"":""slowburn"",""flavor"":""The dictionary definition of confidence preceded by a comma.""}"
wv2-i-actually,Witch Mountain Bridge,"Actually,",wit,intro,word,basic,1,0,"Actually,",+1 wit. Draw 1,"You haven't even said anything yet, but here we are.",academic|cutting,,,,,1,,1,,,,,,,"{""id"":""wv2-i-actually"",""slot"":""intro"",""tier"":1,""rarity"":""basic"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""Actually,"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""effects"":{""draw"":1},""setId"":""crescendo-4"",""setSlot"":""intro"",""schoolId"":""crescendo"",""flavor"":""You haven't even said anything yet, but here we are.""}"
wv2-i-honestly,Witch Mountain Bridge,"Honestly,",wit,intro,word,basic,1,0,"Honestly,",+1 wit. Block 2,Honesty has never been the issue.,observational|cutting,,,,,1,2,,,,,,,,"{""id"":""wv2-i-honestly"",""slot"":""intro"",""tier"":1,""rarity"":""basic"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""Honestly,"",""tags"":[""observational"",""cutting""],""stats"":{""wit"":1},""effects"":{""block"":2},""setId"":""crescendo-5"",""setSlot"":""intro"",""schoolId"":""crescendo"",""flavor"":""Honesty has never been the issue.""}"
wv2-i-truly,Witch Mountain Bridge,"Truly,",wit,intro,word,basic,1,0,"Truly,",+1 wit,Said with the gravity of someone who knows they've said it before.,observational|cutting,,,,,1,,,,,,,,,"{""id"":""wv2-i-truly"",""schoolId"":""thorns"",""slot"":""intro"",""tier"":1,""rarity"":""basic"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""Truly,"",""tags"":[""observational"",""cutting""],""stats"":{""wit"":1},""flavor"":""Said with the gravity of someone who knows they've said it before.""}"
wv2-i-curiously,Witch Mountain Bridge,"Curiously,",wit,intro,word,basic,1,0,"Curiously,",+1 wit,"Curiosity is, of course, the polite name for it.",observational,,,,,1,,,,,,,,,"{""id"":""wv2-i-curiously"",""slot"":""intro"",""tier"":1,""rarity"":""basic"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""Curiously,"",""tags"":[""observational""],""stats"":{""wit"":1},""setId"":""thorns-5"",""setSlot"":""intro"",""schoolId"":""thorns"",""flavor"":""Curiosity is, of course, the polite name for it.""}"
wv2-i-strikes-me,Witch Mountain Bridge,It strikes me that,wit,intro,word,common,1,0,It strikes me that,+1 wit,The strike is yours. The me is not.,observational|cutting,,,,,1,,,,,,,,,"{""id"":""wv2-i-strikes-me"",""schoolId"":""thorns"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""It strikes me that"",""tags"":[""observational"",""cutting""],""stats"":{""wit"":1},""flavor"":""The strike is yours. The me is not.""}"
wv2-i-i-should-think,Witch Mountain Bridge,I should think that,wit,intro,word,common,1,0,I should think that,+1 wit,Should-think being a softer cousin of must-acknowledge.,academic|cutting,,,,,1,,,,,,,,,"{""id"":""wv2-i-i-should-think"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""I should think that"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""setId"":""crescendo-3"",""setSlot"":""intro"",""schoolId"":""crescendo"",""flavor"":""Should-think being a softer cousin of must-acknowledge.""}"
wv2-i-pardon-saying,Witch Mountain Bridge,"Pardon my saying,",wit,intro,word,common,1,0,"Pardon my saying,",+1 wit,You will not pardon it. That is rather the point.,academic|observational,,,,,1,,,,,,,,,"{""id"":""wv2-i-pardon-saying"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""Pardon my saying,"",""tags"":[""academic"",""observational""],""stats"":{""wit"":1},""setId"":""thorns-2"",""setSlot"":""intro"",""schoolId"":""thorns"",""flavor"":""You will not pardon it. That is rather the point.""}"
wv2-i-strictly-speaking,Witch Mountain Bridge,"Strictly speaking,",wit,intro,word,common,1,2,"Strictly speaking,",+1 wit. Apply weak:1,"Strictness is, today, a virtue worth performing.",academic|cutting,,,,,1,,,,weak:1,,,,,"{""id"":""wv2-i-strictly-speaking"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":2,""type"":""word"",""phrase"":""Strictly speaking,"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""effects"":{""weak"":1},""setId"":""crescendo-2"",""setSlot"":""intro"",""schoolId"":""crescendo"",""flavor"":""Strictness is, today, a virtue worth performing.""}"
wv2-i-memory-serves,Witch Mountain Bridge,"If memory serves,",wit,intro,word,common,1,0,"If memory serves,",+1 wit,Memory is serving. The food is leftovers.,academic|observational,,,,,1,,,,,,,,,"{""id"":""wv2-i-memory-serves"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""If memory serves,"",""tags"":[""academic"",""observational""],""stats"":{""wit"":1},""setId"":""slowburn-8"",""setSlot"":""intro"",""schoolId"":""slowburn"",""flavor"":""Memory is serving. The food is leftovers.""}"
