id,game,name,icon,role,attack,attack_pool,duration,lifetime_damage,feed_key,summoned_by,summon_source,elite_variant,is_special,is_keeper,on_attack,on_exit,turn_grant,trained_attack,trained_duration,trained_lifetime_damage,mechanics,flavor,description,raw_json
salmon,Witch Mountain Bridge,Salmon,🐟,GAMBLE,0,composure,2,0,,Fish Food,lure,,false,false,,,,0,2,0,predatorRoll,Flops with surprising authority. Something is always watching.,"THE GAMBLE. Flops for 2 turns doing nothing itself. Each turn, 65% chance to attract a predator — usually a bird, sometimes a bear (the only way to roll a Bear). If nothing comes, it just leaves.","{""name"":""Salmon"",""icon"":""🐟"",""attack"":0,""attackPool"":""composure"",""duration"":2,""predatorRoll"":{""chance"":0.65,""table"":[{""weight"":65,""ids"":[""hawk"",""owl""]},{""weight"":35,""ids"":[""bear""]}]},""flavor"":""Flops with surprising authority. Something is always watching."",""desc"":""THE GAMBLE. Flops for 2 turns doing nothing itself. Each turn, 65% chance to attract a predator — usually a bird, sometimes a bear (the only way to roll a Bear). If nothing comes, it just leaves.""}"
rabid-scrubjay,Witch Mountain Bridge,Rabid Scrubjay,🐦,DISRUPTOR,4,composure,3,12,bird,A Shiny Bauble,lure,,false,false,,redirectEnemyAttack|healComp:1,,6,3,18,redirectEnemyAttack,Foams a little. Means well. Aims worse — at everyone but you.,"THE DISRUPTOR. Attacks for 4 composure each turn for 3 turns. On exit, turns the enemy's next attack back on themselves — the only animal that hands you a free swing of theirs. +1 composure on exit.","{""name"":""Rabid Scrubjay"",""icon"":""🐦"",""attack"":4,""attackPool"":""composure"",""duration"":3,""feedKey"":""bird"",""onExit"":{""redirectEnemyAttack"":true,""healComp"":1},""flavor"":""Foams a little. Means well. Aims worse — at everyone but you."",""desc"":""THE DISRUPTOR. Attacks for 4 composure each turn for 3 turns. On exit, turns the enemy's next attack back on themselves — the only animal that hands you a free swing of theirs. +1 composure on exit."",""upgrade"":{""attack"":6,""onExit"":{""redirectEnemyAttack"":true,""healComp"":3,""healHp"":1}}}"
field-mouse,Witch Mountain Bridge,Field Mouse,🐭,CYCLER,2,composure,3,6,small-land,Tender Greens,lure,mecha-mouse,false,false,draw:1,block:5|healComp:3,,3,3,9,,A small contribution. Steady.,THE CYCLER. A cheap body that draws 1 card and chips 2 composure each turn for 3 turns — built to be spent. Standout send-off: +5 Block and +3 Composure on exit.,"{""name"":""Field Mouse"",""icon"":""🐭"",""attack"":2,""attackPool"":""composure"",""duration"":3,""feedKey"":""small-land"",""onAttack"":{""draw"":1},""onExit"":{""block"":5,""healComp"":3},""flavor"":""A small contribution. Steady."",""desc"":""THE CYCLER. A cheap body that draws 1 card and chips 2 composure each turn for 3 turns — built to be spent. Standout send-off: +5 Block and +3 Composure on exit."",""upgrade"":{""attack"":3,""onExit"":{""block"":7,""healComp"":4}},""elite"":""mecha-mouse""}"
mecha-mouse,Witch Mountain Bridge,Mecha-Mouse,🦾,CYCLER,3,composure,3,9,small-land,,elite-upgrade,,false,false,draw:1,block:7|healComp:4,,3,3,9,,The field mouse has been upgraded. Considerably.,Elite Field Mouse — THE CYCLER. 3 composure + draw per turn for 3 turns. +7 Block and +4 Composure on exit.,"{""name"":""Mecha-Mouse"",""icon"":""🦾"",""attack"":3,""attackPool"":""composure"",""duration"":3,""feedKey"":""small-land"",""onAttack"":{""draw"":1},""onExit"":{""block"":7,""healComp"":4},""flavor"":""The field mouse has been upgraded. Considerably."",""desc"":""Elite Field Mouse — THE CYCLER. 3 composure + draw per turn for 3 turns. +7 Block and +4 Composure on exit.""}"
rabbit,Witch Mountain Bridge,Rabbit,🐰,SWARM,3,composure,3,9,small-land,A Clover Patch,lure,bonzai-bunaroo,false,false,draw:1,healComp:2,,4,3,12,adjacentSpawn,There were always going to be more of them.,"THE SWARM. Attacks for 3 composure AND draws 1 card each turn for 3 turns. Goes wide: after 2 turns, spawns a Rabbit in each adjacent empty slot and stays 2 more turns. +2 Composure on exit.","{""name"":""Rabbit"",""icon"":""🐰"",""attack"":3,""attackPool"":""composure"",""duration"":3,""feedKey"":""small-land"",""onAttack"":{""draw"":1},""onExit"":{""healComp"":2},""adjacentSpawn"":{""animalId"":""rabbit"",""turnsToTrigger"":2,""extendSelfTurns"":2},""flavor"":""There were always going to be more of them."",""desc"":""THE SWARM. Attacks for 3 composure AND draws 1 card each turn for 3 turns. Goes wide: after 2 turns, spawns a Rabbit in each adjacent empty slot and stays 2 more turns. +2 Composure on exit."",""upgrade"":{""attack"":4,""onExit"":{""healComp"":3},""adjacentSpawn"":{""animalId"":""rabbit"",""turnsToTrigger"":2,""extendSelfTurns"":3}},""elite"":""bonzai-bunaroo""}"
bonzai-bunaroo,Witch Mountain Bridge,Bonzai Bunaroo,🥋,SWARM,5,composure,3,15,small-land,,elite-upgrade,,false,false,draw:1,healComp:3,,5,3,15,adjacentSpawn,Disciplined. Smaller. Hits harder than it has any right to.,Elite Rabbit — THE SWARM. 5 composure + draw per turn for 3 turns. Spawns more Bonzai Bunaroos after 2 turns; stays 3 more turns. +3 Composure on exit.,"{""name"":""Bonzai Bunaroo"",""icon"":""🥋"",""attack"":5,""attackPool"":""composure"",""duration"":3,""feedKey"":""small-land"",""onAttack"":{""draw"":1},""onExit"":{""healComp"":3},""adjacentSpawn"":{""animalId"":""bonzai-bunaroo"",""turnsToTrigger"":2,""extendSelfTurns"":3},""flavor"":""Disciplined. Smaller. Hits harder than it has any right to."",""desc"":""Elite Rabbit — THE SWARM. 5 composure + draw per turn for 3 turns. Spawns more Bonzai Bunaroos after 2 turns; stays 3 more turns. +3 Composure on exit.""}"
young-buck,Witch Mountain Bridge,Young Buck,🦌,BURST,5,composure,2,13,small-land,Tender Greens,lure,james-deer,false,false,,damage:3|damageType:composure|healHp:1,,6,3,26,,Bold. Brief. Largely correct.,THE BURST. Hits hard and burns out fast: 5 composure each turn for just 2 turns. Kicks for 3 composure and heals 1 HP on exit.,"{""name"":""Young Buck"",""icon"":""🦌"",""attack"":5,""attackPool"":""composure"",""duration"":2,""feedKey"":""small-land"",""onExit"":{""damage"":3,""damageType"":""composure"",""healHp"":1},""flavor"":""Bold. Brief. Largely correct."",""desc"":""THE BURST. Hits hard and burns out fast: 5 composure each turn for just 2 turns. Kicks for 3 composure and heals 1 HP on exit."",""upgrade"":{""attack"":6,""duration"":3,""onExit"":{""damage"":8,""damageType"":""composure"",""healHp"":2}},""elite"":""james-deer""}"
james-deer,Witch Mountain Bridge,James Deer,🕶️,BURST,8,composure,2,20,small-land,,elite-upgrade,,false,false,,damage:4|damageType:composure|healHp:2,,8,2,20,,Looks the room over slowly. The room looks worse for it.,"Elite Young Buck — THE BURST. 8 composure / turn for just 2 turns, then gone. 4 composure kick and 2 HP heal on exit.","{""name"":""James Deer"",""icon"":""🕶️"",""attack"":8,""attackPool"":""composure"",""duration"":2,""feedKey"":""small-land"",""onExit"":{""damage"":4,""damageType"":""composure"",""healHp"":2},""flavor"":""Looks the room over slowly. The room looks worse for it."",""desc"":""Elite Young Buck — THE BURST. 8 composure / turn for just 2 turns, then gone. 4 composure kick and 2 HP heal on exit.""}"
hawk,Witch Mountain Bridge,Hawk,🦅,,4,composure,3,12,,,predator,,false,false,,applyWeak:1|weakTurns:1,,4,3,12,eatsAdjacent,"Arrived suddenly. The field mouse, presumably, is no longer a topic.","Attacks for 4 composure each turn. On its exit turn, eats one adjacent Field Mouse, Rabbit, or Salmon to stay one more turn (once). Applies Weak 1 to the enemy on exit.","{""name"":""Hawk"",""icon"":""🦅"",""attack"":4,""attackPool"":""composure"",""duration"":3,""eatsAdjacent"":[""field-mouse"",""rabbit"",""salmon""],""onExit"":{""applyWeak"":1,""weakTurns"":1},""flavor"":""Arrived suddenly. The field mouse, presumably, is no longer a topic."",""desc"":""Attacks for 4 composure each turn. On its exit turn, eats one adjacent Field Mouse, Rabbit, or Salmon to stay one more turn (once). Applies Weak 1 to the enemy on exit.""}"
goose,Witch Mountain Bridge,Goose,🪿,HEAVY HITTER,6,composure,2,15,bird,Birdseed,lure,,false,false,,damage:3|damageType:composure,,8,3,29,,It has strong opinions about your personal space.,THE HEAVY HITTER. The biggest raw bird damage: 6 composure each turn for 2 turns. Parting hiss: 3 composure on exit.,"{""name"":""Goose"",""icon"":""🪿"",""attack"":6,""attackPool"":""composure"",""duration"":2,""feedKey"":""bird"",""onExit"":{""damage"":3,""damageType"":""composure""},""flavor"":""It has strong opinions about your personal space."",""desc"":""THE HEAVY HITTER. The biggest raw bird damage: 6 composure each turn for 2 turns. Parting hiss: 3 composure on exit."",""upgrade"":{""attack"":8,""duration"":3,""onExit"":{""damage"":5,""damageType"":""composure"",""healHp"":2}}}"
raven,Witch Mountain Bridge,Raven,🐦‍⬛,ARMOR-STRIP,3,composure,2,6,bird,A Loose Button,lure,,false,false,,healHp:1,,5,2,10,birdTheft|birdTheftPerTurn,It has counted you. It will remember the number. It will also take your things.,"THE ARMOR-STRIP. Each turn: strips 6 Block from the enemy (if any) before the flock attacks, then chips 3 composure. +1 HP on exit.","{""name"":""Raven"",""icon"":""🐦‍⬛"",""attack"":3,""attackPool"":""composure"",""duration"":2,""feedKey"":""bird"",""birdTheft"":6,""birdTheftPerTurn"":true,""onExit"":{""healHp"":1},""flavor"":""It has counted you. It will remember the number. It will also take your things."",""desc"":""THE ARMOR-STRIP. Each turn: strips 6 Block from the enemy (if any) before the flock attacks, then chips 3 composure. +1 HP on exit."",""upgrade"":{""attack"":5,""birdTheft"":9,""onExit"":{""healHp"":2,""healComp"":2}}}"
owl,Witch Mountain Bridge,Owl,🦉,,3,composure,3,9,,,predator,,false,false,,,,3,3,9,eatsAdjacent|prePassVulnerable,It asks the obvious question. The enemy has no good answer.,"Attacks for 3 composure each turn. Applies Vulnerable 1 to the enemy before your animals attack. On its exit turn, eats one adjacent prey to stay one more turn (once).","{""name"":""Owl"",""icon"":""🦉"",""attack"":3,""attackPool"":""composure"",""duration"":3,""eatsAdjacent"":[""field-mouse"",""rabbit"",""salmon""],""prePassVulnerable"":1,""flavor"":""It asks the obvious question. The enemy has no good answer."",""desc"":""Attacks for 3 composure each turn. Applies Vulnerable 1 to the enemy before your animals attack. On its exit turn, eats one adjacent prey to stay one more turn (once).""}"
bear,Witch Mountain Bridge,Bear,🐻,,9,composure,3,27,,,predator,,false,false,,,,11,4,44,,He came for the salmon. He's staying for the rest of you.,Attacks for 9 composure each turn for 3 turns. Eats an adjacent Salmon for +2 turns.,"{""name"":""Bear"",""icon"":""🐻"",""attack"":9,""attackPool"":""composure"",""duration"":3,""flavor"":""He came for the salmon. He's staying for the rest of you."",""upgrade"":{""attack"":11,""duration"":4},""desc"":""Attacks for 9 composure each turn for 3 turns. Eats an adjacent Salmon for +2 turns.""}"
